,Day-ahead price [EUR/MWh],datetime
2021-10-15 09:00:00+02:00,260.0,2021-10-15 09:00:00+02:00
2021-10-15 10:00:00+02:00,246.59,2021-10-15 10:00:00+02:00
2021-10-15 11:00:00+02:00,237.0,2021-10-15 11:00:00+02:00
2021-10-15 12:00:00+02:00,200.1,2021-10-15 12:00:00+02:00
2021-10-15 13:00:00+02:00,163.57,2021-10-15 13:00:00+02:00
2021-10-15 14:00:00+02:00,155.0,2021-10-15 14:00:00+02:00
2021-10-15 15:00:00+02:00,195.8,2021-10-15 15:00:00+02:00
2021-10-15 16:00:00+02:00,209.73,2021-10-15 16:00:00+02:00
2021-10-15 17:00:00+02:00,254.88,2021-10-15 17:00:00+02:00
2021-10-15 18:00:00+02:00,250.0,2021-10-15 18:00:00+02:00
2021-10-15 19:00:00+02:00,305.46,2021-10-15 19:00:00+02:00
2021-10-15 20:00:00+02:00,275.0,2021-10-15 20:00:00+02:00
2021-10-15 21:00:00+02:00,229.7,2021-10-15 21:00:00+02:00
2021-10-15 22:00:00+02:00,232.33,2021-10-15 22:00:00+02:00
2021-10-15 23:00:00+02:00,278.8,2021-10-15 23:00:00+02:00
2021-10-16 00:00:00+02:00,282.59,2021-10-16 00:00:00+02:00
2021-10-16 01:00:00+02:00,238.0,2021-10-16 01:00:00+02:00
2021-10-16 02:00:00+02:00,199.28,2021-10-16 02:00:00+02:00
2021-10-16 03:00:00+02:00,182.8,2021-10-16 03:00:00+02:00
2021-10-16 04:00:00+02:00,151.05,2021-10-16 04:00:00+02:00
2021-10-16 05:00:00+02:00,159.68,2021-10-16 05:00:00+02:00
